strand;type;clone;glyc_stock_box_as_plasmid;comment_as_plasmid;origin_id;date_as_plasmid;Created at;Updated at;qc validation;name;temp_name;number;strict_validation;plasmid_validation;target
Unknown;Unknown;;2;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGHpolyA-dU3;None;32;0;1;Unknown
Unknown;Unknown;;0;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-CMV-GFP-WPRE;None;33;0;1;Ubiquitous
Unknown;Unknown;;2;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGHolyA-Rfb-dU3;None;34;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGHpolyA-Rfb(invert)-dU3;None;35;0;1;Unknown
Unknown;Unknown;;2;pENTR;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pENTR-dTOPO-hRho;None;36;0;1;Unknown
Unknown;Unknown;;2;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-Rfb-EF1-dU3;None;37;0;1;Unknown
Unknown;Unknown;;2;pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pCIG-BF;None;38;0;1;Unknown
Unknown;Unknown;;2;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pCIG-hRho;None;39;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pHcRed1-Nuc;None;40;0;1;Unknown
Unknown;Unknown;;2;pGEM-T/easy;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pGEM-T/easy-bRHOprom;None;41;0;1;Unknown
Unknown;Unknown;;2;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pENTR/D-topo-hRhoP347L;None;42;0;1;Unknown
Unknown;Unknown;;2;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-Rfb-bRHOprom-dU3;None;43;0;1;Unknown
Unknown;Unknown;;2;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-hRhoWT-EF1-dU3;None;44;0;1;Unknown
Unknown;Unknown;;2;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-hRhoP347L-EF1-dU3;None;45;0;1;Unknown
Unknown;Unknown;;2;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-hRhoWT-bRHOprom-dU3;None;46;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-hRhoP347L-bRHOprom-dU3;None;47;0;1;Unknown
Unknown;Unknown;;2;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-PGK-Rfbinvert;None;48;0;1;Unknown
Unknown;Unknown;;0;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTrip-Rfc-GFP;None;49;0;1;Unknown
Unknown;Unknown;;2;AAV pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscAAV-CMV-Rfa;None;50;0;1;Ubiquitous
Unknown;Unknown;;2;AAV pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscAAV-CMV-Rfa invert;None;51;0;1;Ubiquitous
Unknown;Unknown;;2;AAV pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscAAV-Rfa-GFP;None;52;0;1;Unknown
Unknown;Unknown;;2;AAV - human gamma synuclein;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscAAV-hSNCG-GFP;None;53;0;1;RGC
Unknown;Unknown;;2;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pEntr-221- ApoE3;None;54;0;1;Unknown
Unknown;Unknown;;2;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pDONR 221mm Ccl2;None;55;0;1;Unknown
Unknown;Unknown;;2;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pDONR 221mm FASL;None;56;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pERK5cDNAhRho Elise;None;57;0;1;Unknown
Unknown;Unknown;;3;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-EF1-GFP-dU3;None;58;0;1;Unknown
Unknown;Unknown;;3;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pEntr/D-Topo;None;59;0;1;Unknown
Unknown;Unknown;;3;Lenti rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-BGH-GFP-bRHOprom-dU3;None;60;0;1;Unknown
Unknown;Unknown;;3;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pDONR 221;None;61;0;1;Unknown
Unknown;Unknown;;3;pEntr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pEntr/D-Topo-CTSD;None;62;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pcDNA3:1-CTSD;None;63;0;1;Unknown
Unknown;Unknown;;3;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-PGK-Rfb-WdU3;None;64;0;1;Unknown
Unknown;Unknown;;3;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-CTSD-WPREdU3;None;65;0;1;Unknown
