name;id
AflII;1
AgeI;2
AgeI HF;3
Agel;4
AscI;5
BamHI;6
BglII;7
BstBI;8
BstEII;9
ClaI;10
EcoRI;11
EcoRV;12
HindII;13
HindIII;14
KflI;15
KpnI;16
MluI;17
NcoI;18
NheI;19
NotI;20
SacI;21
SpeI;22
StuI;23
XbaI;24
XhoI;25
