"strand";"type";"clone";"glyc_stock_box_as_plasmid";"comment_as_plasmid";"origin_as_plasmid";"date_as_plasmid";"Created at";"Updated at";"Qc validation";"name";"temp_name";"number"
"unknown";"unknown";"";"0";"Lenti packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"p8,9";"None";"30"
"unknown";"unknown";"";"3";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV-Helper";"None";"31"
"unknown";"unknown";"";"2";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGHpolyA-dU3";"None";"32"
"unknown";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-CMV-GFP-WPRE";"None";"33"
"unknown";"unknown";"";"2";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGHolyA-Rfb-dU3";"None";"34"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGHpolyA-Rfb(invert)-dU3";"None";"35"
"unknown";"unknown";"";"2";"pENTR";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pENTR-dTOPO-hRho";"None";"36"
"unknown";"unknown";"";"2";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-Rfb-EF1-dU3";"None";"37"
"unknown";"unknown";"";"2";"pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pCIG-BF";"None";"38"
"unknown";"unknown";"";"2";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pCIG-hRho";"None";"39"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pHcRed1-Nuc";"None";"40"
"unknown";"unknown";"";"2";"pGEM-T/easy";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pGEM-T/easy-bRHOprom";"None";"41"
"unknown";"unknown";"";"2";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pENTR/D-topo-hRhoP347L";"None";"42"
"unknown";"unknown";"";"2";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-Rfb-bRHOprom-dU3";"None";"43"
"unknown";"unknown";"";"2";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-hRhoWT-EF1-dU3";"None";"44"
"unknown";"unknown";"";"2";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-hRhoP347L-EF1-dU3";"None";"45"
"unknown";"unknown";"";"2";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-hRhoWT-bRHOprom-dU3";"None";"46"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-hRhoP347L-bRHOprom-dU3";"None";"47"
"unknown";"unknown";"";"2";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-PGK-Rfbinvert";"None";"48"
"unknown";"unknown";"";"0";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTrip-Rfc-GFP";"None";"49"
"sc";"unknown";"";"2";"AAV pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscAAV-CMV-Rfa";"None";"50"
"sc";"unknown";"";"2";"AAV pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscAAV-CMV-Rfa invert";"None";"51"
"sc";"unknown";"";"2";"AAV pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscAAV-Rfa-GFP";"None";"52"
"sc";"unknown";"";"2";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscAAV-hSNCG-GFP";"None";"53"
"unknown";"unknown";"";"2";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pEntr-221- ApoE3";"None";"54"
"unknown";"unknown";"";"2";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pDONR 221mm Ccl2";"None";"55"
"unknown";"unknown";"";"2";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pDONR 221mm FASL";"None";"56"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pERK5cDNAhRho Elise";"None";"57"
"unknown";"unknown";"";"3";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-EF1-GFP-dU3";"None";"58"
"unknown";"unknown";"";"3";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pEntr/D-Topo";"None";"59"
"unknown";"unknown";"";"3";"Lenti rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-BGH-GFP-bRHOprom-dU3";"None";"60"
"unknown";"unknown";"";"3";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pDONR 221";"None";"61"
"unknown";"unknown";"";"3";"pEntr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pEntr/D-Topo-CTSD";"None";"62"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pcDNA3:1-CTSD";"None";"63"
"unknown";"unknown";"";"3";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-PGK-Rfb-WdU3";"None";"64"
"unknown";"unknown";"";"3";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-CTSD-WPREdU3";"None";"65"
"unknown";"unknown";"";"2";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV10";"None";"66"
"unknown";"unknown";"";"2";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV5 Y719F";"None";"67"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pCIG-hRho-P347L";"None";"68"
